time,price,portfolio_value,action,action_name,amount_bought,amount_sold,cash,shares,commission
162,12.640263,9883.172046,1,buy-small,82.904362,0.000000,7936.331199,185.806049,1.763629
163,12.539471,9909.129147,4,buy-small,75.592677,0.000000,7142.698079,261.398725,1.587266
164,12.314979,9888.997607,1,sell-large,0.000000,130.699363,8523.147182,130.699363,2.766431
165,12.589867,9912.557516,4,buy-small,81.395587,0.000000,7670.832464,212.094949,1.704629
166,12.530308,9867.074827,1,sell-large,0.000000,106.047475,8789.453265,106.047475,2.241725
167,12.621937,9903.214687,4,buy-small,86.322987,0.000000,7910.507938,192.370462,1.757891
168,12.699822,9916.645282,1,sell-large,0.000000,96.185231,8904.868606,96.185231,1.992707
169,12.571541,9921.486429,0,buy-small,84.485423,0.000000,8014.381745,180.670654,1.780974
170,12.635682,9950.456969,0,nothing,0.000000,0.000000,8014.381745,180.670654,0.000000
171,12.443260,9902.448259,1,nothing,0.000000,0.000000,8014.381745,180.670654,0.000000
172,12.388283,9845.461394,4,buy-small,76.536905,0.000000,7212.943571,257.207559,1.602876
173,12.521145,9861.093828,1,sell-large,0.000000,128.603779,8526.569964,128.603779,2.632518
174,12.521145,9878.686457,4,buy-small,82.003481,0.000000,7673.912968,210.607261,1.705314
175,12.589867,9865.385419,1,sell-large,0.000000,105.303630,8774.094939,105.303630,2.204773
176,12.663170,9873.195739,4,buy-small,84.495941,0.000000,7896.685445,189.799572,1.754819
177,12.507400,9835.132446,1,sell-large,0.000000,94.899786,8882.964082,94.899786,1.976510
178,12.750218,9831.676673,1,buy-small,88.356790,0.000000,7994.667673,183.256576,1.776593
179,12.727311,9784.316804,4,buy-small,79.593800,0.000000,7195.200906,262.850376,1.598934
180,12.594448,9766.674641,1,sell-large,0.000000,131.425188,8487.169739,131.425188,2.589116
181,12.585285,9654.898337,4,buy-small,87.002170,0.000000,7638.452765,218.427358,1.697434
182,12.438678,9675.398039,1,sell-large,0.000000,109.213679,8644.659106,109.213679,2.016446
183,12.411190,9621.276920,1,buy-small,91.412749,0.000000,7780.193195,200.626428,1.728932
184,12.686078,9685.061463,4,buy-small,84.612694,0.000000,7002.173876,285.239122,1.556039
185,12.356212,9717.009029,1,sell-large,0.000000,142.619561,8340.934782,142.619561,2.682888
186,12.003440,9732.119464,4,buy-small,86.274509,0.000000,7506.841303,228.894070,1.668187
187,12.058417,9708.920851,1,sell-large,0.000000,114.447035,8617.255106,114.447035,2.225278
188,12.186698,9673.450933,1,buy-small,90.160093,0.000000,7755.529595,204.607128,1.723451
189,12.159210,9628.481813,4,buy-small,82.571841,0.000000,6979.976636,287.178970,1.551106
190,12.150047,9648.200098,1,sell-large,0.000000,143.589485,8301.580719,143.589485,2.648505
191,12.296653,9523.279590,4,buy-small,88.342384,0.000000,7471.422647,231.931869,1.660316
192,12.214187,9488.818966,1,sell-large,0.000000,115.965934,8495.299262,115.965934,2.051857
193,12.264583,9429.023707,1,buy-small,98.960794,0.000000,7645.769336,214.926728,1.699060
194,12.163790,9465.456917,4,buy-small,91.966332,0.000000,6881.192402,306.893060,1.529154
195,12.058417,9566.918300,0,sell-large,0.000000,153.446530,8170.740395,153.446530,2.584265
196,12.067580,9538.797689,1,nothing,0.000000,0.000000,8170.740395,153.446530,0.000000
197,11.962206,9632.537377,4,buy-small,91.462852,0.000000,7353.666356,244.909382,1.634148
198,11.943880,9601.085390,0,sell-large,0.000000,122.454691,8490.822995,122.454691,2.278871
199,12.095069,9587.620885,0,nothing,0.000000,0.000000,8490.822995,122.454691,0.000000
200,12.214187,9547.788333,1,nothing,0.000000,0.000000,8490.822995,122.454691,0.000000
201,11.957625,9592.586933,4,buy-small,98.173666,0.000000,7641.740696,220.628357,1.698165
202,11.998858,9578.001031,1,sell-large,0.000000,110.314179,8615.212968,110.314179,1.950846
203,11.975950,9538.965227,1,buy-small,98.513828,0.000000,7753.691671,208.828007,1.723043
204,11.943880,9538.786081,4,buy-small,90.515518,0.000000,6978.322504,299.343525,1.550738
205,11.989695,9625.368622,0,sell-large,0.000000,149.671762,8255.993829,149.671762,2.560464
206,11.989695,9658.283089,0,nothing,0.000000,0.000000,8255.993829,149.671762,0.000000
207,12.017184,9604.111490,0,nothing,0.000000,0.000000,8255.993829,149.671762,0.000000
208,11.980532,9604.111490,0,nothing,0.000000,0.000000,8255.993829,149.671762,0.000000
209,12.223350,9625.368622,4,nothing,0.000000,0.000000,8255.993829,149.671762,0.000000
210,11.833925,9598.284890,1,sell-large,0.000000,74.835881,8939.311851,74.835881,1.369375
211,11.696482,9571.479096,1,buy-small,101.315726,0.000000,8045.380666,176.151607,1.787862
212,11.435337,9608.050683,4,buy-small,92.678971,0.000000,7240.842599,268.830578,1.609076
213,11.430757,9603.836071,1,sell-large,0.000000,134.415289,8422.079433,134.415289,2.367208
214,11.045913,9530.492058,4,buy-small,95.602774,0.000000,7579.871489,230.018063,1.684416
215,10.720629,9509.572652,1,sell-large,0.000000,115.009031,8553.231153,115.009031,1.950621
216,10.340367,9545.756426,1,buy-small,102.654902,0.000000,7697.908038,217.663934,1.710646
217,10.601511,9506.097615,4,buy-small,90.494753,0.000000,6928.117234,308.158687,1.539582
218,10.990935,9521.873258,1,sell-large,0.000000,154.079343,8214.529444,154.079343,2.577980
219,11.110054,9542.052993,4,buy-small,96.620178,0.000000,7393.076500,250.699522,1.642906
220,11.041332,9547.944076,0,sell-large,0.000000,125.349761,8465.415770,125.349761,2.148976
221,10.615255,9509.466964,1,nothing,0.000000,0.000000,8465.415770,125.349761,0.000000
222,10.477812,9519.203067,1,buy-small,101.433299,0.000000,7618.874193,226.783059,1.693083
223,10.583185,9490.039464,4,buy-small,90.740922,0.000000,6856.986774,317.523981,1.523775
224,10.450322,9499.044142,1,sell-large,0.000000,158.761991,8170.880066,158.761991,2.633053
225,10.569441,9446.930468,4,buy-small,97.475211,0.000000,7353.792060,256.237202,1.634176
226,10.161690,9469.490039,1,sell-large,0.000000,128.118601,8398.268126,128.118601,2.093138
227,10.358694,9493.966211,4,buy-small,100.242760,0.000000,7558.441313,228.361361,1.679654
228,10.519044,9521.325110,0,sell-large,0.000000,114.180680,8524.268237,114.180680,1.935525
